rank,stop_loss,partial_sell,stale_early,stale_force,trail_ma,trail_ma_late,max_hold,sideways_thr,min_score,yellow_score,min_green,use_atr,atr_mult,use_ratchet,ratchet_pct,grace_days,grace_mult,group,trades,win_rate,wl_ratio,pf,total_pnl,avg_pnl_pct,max_dd_streak,avg_days,partial_rate
1,-0.13,0.12,8,25,5,15,60,0.03,60,105,7,False,-,False,-,0,-,FINE_SE,46,58.7,3.15,4.47,84670.0,4.67,3,12.3,30.4
2,-0.13,0.14,8,25,5,15,60,0.03,60,105,7,False,-,False,-,0,-,FINE_COMBO,46,58.7,3.13,4.45,84141.0,4.64,3,12.4,28.3
3,-0.14,0.12,8,25,5,15,60,0.03,60,105,7,False,-,False,-,0,-,FINE_COMBO,46,58.7,3.05,4.33,83881.0,4.63,3,12.4,30.4
4,-0.13,0.1,8,25,5,15,60,0.03,60,105,7,False,-,False,-,0,-,FINE_COMBO,46,58.7,3.04,4.31,80814.0,4.45,3,12.0,32.6
5,-0.14,0.14,8,25,5,15,60,0.03,60,105,7,False,-,False,-,0,-,FINE_COMBO,46,58.7,3.03,4.31,83352.0,4.6,3,12.6,28.3
6,-0.14,0.1,8,25,5,15,60,0.03,60,105,7,False,-,False,-,0,-,FINE_COMBO,46,58.7,2.94,4.18,80025.0,4.41,3,12.1,32.6
7,-0.13,0.12,10,25,5,15,60,0.035,60,105,7,False,-,False,-,0,-,FINE_ST,46,54.3,3.3,3.93,81354.0,4.49,3,13.9,30.4
8,-0.13,0.12,10,25,5,15,60,0.05,60,105,7,False,-,False,-,0,-,FINE_ST,46,56.5,3.02,3.93,80368.0,4.43,3,12.2,28.3
9,-0.12,0.12,8,25,5,15,60,0.03,60,105,7,False,-,False,-,0,-,FINE_COMBO,46,58.7,2.54,3.6,78784.0,4.34,3,11.0,30.4
10,-0.13,0.12,9,25,5,15,60,0.03,60,105,7,False,-,False,-,0,-,FINE_SE,46,50.0,3.59,3.59,77047.0,4.25,4,13.3,30.4
11,-0.12,0.14,8,25,5,15,60,0.03,60,105,7,False,-,False,-,0,-,FINE_COMBO,46,58.7,2.52,3.59,78255.0,4.31,3,11.2,28.3
12,-0.13,0.12,10,25,5,15,60,0.04,60,105,7,False,-,False,-,0,-,FINE_ST,46,54.3,2.98,3.55,75412.0,4.15,3,13.1,28.3
13,-0.12,0.1,8,25,5,15,60,0.03,60,105,7,False,-,False,-,0,-,FINE_COMBO,46,58.7,2.45,3.48,74928.0,4.12,3,10.7,32.6
14,-0.125,0.12,10,25,5,15,60,0.03,60,105,7,False,-,False,-,0,-,FINE_SL,46,54.3,2.65,3.16,73984.0,4.07,3,14.5,30.4
15,-0.13,0.12,10,25,5,15,65,0.03,60,105,7,False,-,False,-,0,-,FINE_MH,46,54.3,2.63,3.13,73635.0,4.05,3,14.9,30.4
16,-0.13,0.12,10,25,5,15,75,0.03,60,105,7,False,-,False,-,0,-,FINE_MH,46,54.3,2.61,3.1,73352.0,4.04,3,15.1,30.4
17,-0.13,0.12,10,25,5,15,60,0.03,60,105,7,False,-,False,-,0,-,CORE,46,54.3,2.59,3.09,73210.0,4.03,3,14.8,30.4
18,-0.13,0.12,10,25,5,15,60,0.03,60,105,7,False,-,False,-,0,-,FINE_SL,46,54.3,2.59,3.09,73210.0,4.03,3,14.8,30.4
19,-0.13,0.12,10,25,7,15,60,0.03,60,105,7,False,-,False,-,0,-,CORE,46,54.3,2.59,3.09,73109.0,4.03,3,15.0,30.4
20,-0.13,0.12,10,25,7,15,60,0.03,60,105,7,False,-,False,-,0,-,FINE_TM,46,54.3,2.59,3.09,73109.0,4.03,3,15.0,30.4
21,-0.13,0.14,10,25,5,15,60,0.03,60,105,7,False,-,False,-,0,-,FINE_PS,46,54.3,2.58,3.07,72681.0,4.0,3,15.0,28.3
22,-0.13,0.09,10,25,5,15,60,0.03,60,105,7,False,-,False,-,0,-,FINE_PS,46,54.3,2.58,3.07,72660.0,4.0,3,14.3,37.0
23,-0.13,0.12,10,25,6,15,60,0.03,60,105,7,False,-,False,-,0,-,FINE_TM,46,54.3,2.58,3.07,72511.0,3.99,3,14.8,30.4
24,-0.13,0.15,15,25,7,15,60,0.03,60,105,7,False,-,True,0.03,0,-,RATCHET,46,39.1,4.77,3.07,71419.0,3.93,7,17.0,28.3
25,-0.13,0.12,10,25,5,15,60,0.02,60,105,7,False,-,False,-,0,-,FINE_ST,46,52.2,2.8,3.06,73382.0,4.04,3,16.4,32.6
26,-0.13,0.13,10,25,5,15,60,0.03,60,105,7,False,-,False,-,0,-,FINE_PS,46,54.3,2.56,3.05,71914.0,3.96,3,15.0,28.3
27,-0.13,0.1,10,25,7,15,60,0.03,60,105,7,False,-,False,-,0,-,CORE,46,54.3,2.55,3.04,71543.0,3.94,3,14.6,34.8
28,-0.13,0.11,10,25,5,15,60,0.03,60,105,7,False,-,False,-,0,-,FINE_PS,46,54.3,2.55,3.04,71396.0,3.93,3,14.7,32.6
29,-0.13,0.1,10,25,5,15,60,0.03,60,105,7,False,-,False,-,0,-,CORE,46,54.3,2.55,3.03,71281.0,3.93,3,14.4,34.8
30,-0.13,0.1,10,25,5,15,60,0.03,60,105,7,False,-,False,-,0,-,FINE_PS,46,54.3,2.55,3.03,71281.0,3.93,3,14.4,34.8
31,-0.13,0.12,10,25,5,15,50,0.03,60,105,7,False,-,False,-,0,-,FINE_MH,46,54.3,2.54,3.03,72502.0,3.99,3,14.6,30.4
32,-0.13,0.12,10,25,5,15,55,0.03,60,105,7,False,-,False,-,0,-,FINE_MH,46,54.3,2.54,3.03,72502.0,3.99,3,14.7,30.4
33,-0.135,0.12,10,25,5,15,60,0.03,60,105,7,False,-,False,-,0,-,FINE_SL,46,54.3,2.54,3.02,72437.0,3.99,3,15.0,30.4
34,-0.13,0.2,15,25,7,15,60,0.03,60,105,7,False,-,True,0.03,0,-,RATCHET,46,32.6,6.23,3.01,70192.0,3.86,7,17.1,21.7
35,-0.13,0.15,10,25,5,15,60,0.03,60,105,7,False,-,False,-,0,-,CORE,46,54.3,2.53,3.01,70396.0,3.88,3,15.1,26.1
36,-0.13,0.15,10,25,5,15,60,0.03,60,105,7,False,-,False,-,0,-,FINE_PS,46,54.3,2.53,3.01,70396.0,3.88,3,15.1,26.1
37,-0.13,0.15,10,25,7,15,60,0.03,60,105,7,False,-,False,-,0,-,CORE,46,54.3,2.51,2.99,69669.0,3.84,3,15.2,26.1
38,-0.13,0.12,10,25,5,15,70,0.03,60,105,7,False,-,False,-,0,-,FINE_MH,46,54.3,2.5,2.97,71865.0,3.96,3,15.0,30.4
39,-0.14,0.12,10,25,5,15,60,0.03,60,105,7,False,-,False,-,0,-,CORE,46,54.3,2.48,2.96,71663.0,3.95,3,15.0,30.4
40,-0.14,0.12,10,25,5,15,60,0.03,60,105,7,False,-,False,-,0,-,FINE_SL,46,54.3,2.48,2.96,71663.0,3.95,3,15.0,30.4
41,-0.14,0.12,10,25,7,15,60,0.03,60,105,7,False,-,False,-,0,-,CORE,46,54.3,2.48,2.96,71561.0,3.94,3,15.1,30.4
42,-0.14,0.14,10,25,5,15,60,0.03,60,105,7,False,-,False,-,0,-,FINE_COMBO,46,54.3,2.47,2.94,71134.0,3.92,3,15.2,28.3
43,-0.13,0.12,10,25,5,15,45,0.03,60,105,7,False,-,False,-,0,-,FINE_MH,46,54.3,2.45,2.92,71158.0,3.92,3,14.5,30.4
44,-0.14,0.1,10,25,7,15,60,0.03,60,105,7,False,-,False,-,0,-,CORE,46,54.3,2.45,2.91,69995.0,3.86,3,14.8,34.8
45,-0.13,0.12,10,25,8,16,60,0.03,60,105,7,False,-,False,-,0,-,FINE_TM,46,54.3,2.44,2.91,66817.0,3.67,3,15.2,30.4
46,-0.14,0.1,10,25,5,15,60,0.03,60,105,7,False,-,False,-,0,-,CORE,46,54.3,2.44,2.91,69734.0,3.84,3,14.5,34.8
47,-0.14,0.1,10,25,5,15,60,0.03,60,105,7,False,-,False,-,0,-,FINE_COMBO,46,54.3,2.44,2.91,69734.0,3.84,3,14.5,34.8
48,-0.13,0.12,10,25,5,15,60,0.025,60,105,7,False,-,False,-,0,-,FINE_ST,46,54.3,2.43,2.9,70169.0,3.87,3,15.6,30.4
49,-0.13,0.2,10,25,5,15,60,0.03,60,105,7,False,-,False,-,0,-,CORE,46,50.0,2.9,2.9,68741.0,3.78,4,15.4,19.6
50,-0.13,0.18,10,25,5,15,60,0.03,60,105,7,False,-,False,-,0,-,CORE,46,52.2,2.65,2.89,67431.0,3.71,3,15.3,21.7
51,-0.14,0.15,10,25,5,15,60,0.03,60,105,7,False,-,False,-,0,-,CORE,46,54.3,2.42,2.88,68848.0,3.79,3,15.2,26.1
52,-0.13,0.2,10,25,7,15,60,0.03,60,105,7,False,-,False,-,0,-,CORE,46,50.0,2.88,2.88,68109.0,3.75,4,15.5,19.6
53,-0.13,0.18,10,25,7,15,60,0.03,60,105,7,False,-,False,-,0,-,CORE,46,52.2,2.63,2.87,66911.0,3.68,3,15.3,21.7
54,-0.14,0.15,10,25,7,15,60,0.03,60,105,7,False,-,False,-,0,-,CORE,46,54.3,2.4,2.86,68121.0,3.75,3,15.4,26.1
55,-0.11,0.12,10,25,5,15,60,0.03,60,105,7,False,-,False,-,0,-,CORE,46,54.3,2.4,2.86,70406.0,3.87,3,12.8,30.4
56,-0.11,0.12,10,25,5,15,60,0.03,60,105,7,False,-,False,-,0,-,FINE_SL,46,54.3,2.4,2.86,70406.0,3.87,3,12.8,30.4
57,-0.11,0.12,10,25,7,15,60,0.03,60,105,7,False,-,False,-,0,-,CORE,46,54.3,2.4,2.86,70304.0,3.87,3,12.9,30.4
58,-0.15,0.12,10,25,5,15,60,0.03,60,105,7,False,-,False,-,0,-,CORE,46,54.3,2.38,2.84,70115.0,3.86,3,15.1,30.4
59,-0.15,0.12,10,25,5,15,60,0.03,60,105,7,False,-,False,-,0,-,FINE_SL,46,54.3,2.38,2.84,70115.0,3.86,3,15.1,30.4
60,-0.15,0.12,10,25,7,15,60,0.03,60,105,7,False,-,False,-,0,-,CORE,46,54.3,2.38,2.84,70013.0,3.85,3,15.3,30.4
61,-0.15,0.25,15,25,5,15,60,0.03,60,105,7,False,-,False,-,0,-,CORE,46,47.8,3.09,2.83,81072.0,4.46,4,22.5,21.7
62,-0.15,0.25,15,25,7,15,60,0.03,60,105,7,False,-,False,-,0,-,CORE,46,47.8,3.08,2.82,80555.0,4.43,4,22.6,21.7
63,-0.11,0.1,10,25,7,15,60,0.03,60,105,7,False,-,False,-,0,-,CORE,46,54.3,2.37,2.82,68738.0,3.78,3,12.6,34.8
64,-0.11,0.1,10,25,5,15,60,0.03,60,105,7,False,-,False,-,0,-,CORE,46,54.3,2.36,2.81,68477.0,3.77,3,12.3,34.8
65,-0.15,0.1,10,25,7,15,60,0.03,60,105,7,False,-,False,-,0,-,CORE,46,54.3,2.35,2.79,68447.0,3.77,3,15.0,34.8
66,-0.15,0.1,10,25,5,15,60,0.03,60,105,7,False,-,False,-,0,-,CORE,46,54.3,2.34,2.79,68186.0,3.76,3,14.7,34.8
67,-0.11,0.15,10,25,5,15,60,0.03,60,105,7,False,-,False,-,0,-,CORE,46,54.3,2.34,2.79,67591.0,3.72,3,13.0,26.1
68,-0.14,0.2,10,25,5,15,60,0.03,60,105,7,False,-,False,-,0,-,CORE,46,50.0,2.78,2.78,67194.0,3.7,4,15.6,19.6
69,-0.13,0.12,10,25,5,15,60,0.015,60,105,7,False,-,False,-,0,-,FINE_ST,46,47.8,3.03,2.78,68890.0,3.79,4,17.6,32.6
70,-0.14,0.18,10,25,5,15,60,0.03,60,105,7,False,-,False,-,0,-,CORE,46,52.2,2.54,2.77,65883.0,3.62,3,15.4,21.7
71,-0.11,0.15,10,25,7,15,60,0.03,60,105,7,False,-,False,-,0,-,CORE,46,54.3,2.32,2.77,66864.0,3.68,3,13.2,26.1
72,-0.15,0.15,10,25,5,15,60,0.03,60,105,7,False,-,False,-,0,-,CORE,46,54.3,2.32,2.76,67300.0,3.7,3,15.4,26.1
73,-0.15,0.12,12,25,5,15,60,0.03,60,105,7,False,-,False,-,0,-,CORE,46,45.7,3.29,2.76,68082.0,3.74,4,17.3,30.4
74,-0.14,0.2,10,25,7,15,60,0.03,60,105,7,False,-,False,-,0,-,CORE,46,50.0,2.76,2.76,66562.0,3.66,4,15.6,19.6
75,-0.15,0.12,12,25,7,15,60,0.03,60,105,7,False,-,False,-,0,-,CORE,46,45.7,3.28,2.76,67980.0,3.74,4,17.5,30.4
76,-0.14,0.18,10,25,7,15,60,0.03,60,105,7,False,-,False,-,0,-,CORE,46,52.2,2.52,2.75,65363.0,3.6,3,15.5,21.7
77,-0.1,0.12,10,25,5,15,60,0.03,60,105,7,False,-,False,-,0,-,CORE,46,54.3,2.31,2.75,68897.0,3.79,3,12.7,30.4
78,-0.1,0.12,10,25,7,15,60,0.03,60,105,7,False,-,False,-,0,-,CORE,46,54.3,2.31,2.75,68795.0,3.78,3,12.8,30.4
79,-0.15,0.15,10,25,7,15,60,0.03,60,105,7,False,-,False,-,0,-,CORE,46,54.3,2.31,2.75,66574.0,3.66,3,15.5,26.1
80,-0.15,0.1,12,25,7,15,60,0.03,60,105,7,False,-,False,-,0,-,CORE,46,45.7,3.26,2.74,67298.0,3.7,4,16.8,37.0
81,-0.09,0.12,10,25,5,15,60,0.03,60,105,7,False,-,False,-,0,-,CORE,46,54.3,2.3,2.74,68750.0,3.78,3,12.2,30.4
82,-0.09,0.12,10,25,7,15,60,0.03,60,105,7,False,-,False,-,0,-,CORE,46,54.3,2.3,2.74,68648.0,3.78,3,12.4,30.4
83,-0.15,0.1,12,25,5,15,60,0.03,60,105,7,False,-,False,-,0,-,CORE,46,45.7,3.26,2.73,67036.0,3.69,4,16.6,37.0
84,-0.15,0.2,15,25,5,15,60,0.03,60,105,7,False,-,False,-,0,-,CORE,46,50.0,2.72,2.72,76025.0,4.2,4,21.5,26.1
85,-0.15,0.18,12,25,5,15,60,0.03,60,105,7,False,-,False,-,0,-,CORE,46,43.5,3.54,2.72,67367.0,3.72,4,17.9,23.9
86,-0.15,0.1,15,25,7,15,60,0.03,60,105,7,False,-,False,-,0,-,CORE,46,54.3,2.28,2.72,73016.0,4.02,4,20.0,43.5
87,-0.1,0.1,10,25,7,15,60,0.03,60,105,7,False,-,False,-,0,-,CORE,46,54.3,2.27,2.71,67229.0,3.7,3,12.5,34.8
88,-0.13,0.25,10,25,5,15,60,0.03,60,105,7,False,-,False,-,0,-,CORE,46,47.8,2.95,2.71,62069.0,3.41,5,15.7,15.2
89,-0.15,0.18,12,25,7,15,60,0.03,60,105,7,False,-,False,-,0,-,CORE,46,43.5,3.52,2.71,66847.0,3.69,4,18.0,23.9
90,-0.13,0.12,11,25,5,15,60,0.03,60,105,7,False,-,False,-,0,-,FINE_SE,46,47.8,2.95,2.71,67800.0,3.73,4,15.9,30.4
91,-0.15,0.25,20,25,5,15,60,0.03,60,105,7,False,-,False,-,0,-,CORE,46,54.3,2.27,2.7,83518.0,4.59,4,26.2,23.9
92,-0.1,0.1,10,25,5,15,60,0.03,60,105,7,False,-,False,-,0,-,CORE,46,54.3,2.27,2.7,66968.0,3.68,3,12.2,34.8
93,-0.15,0.2,12,25,5,15,60,0.03,60,105,7,False,-,False,-,0,-,CORE,46,41.3,3.84,2.7,68270.0,3.77,4,18.1,21.7
94,-0.15,0.2,15,25,7,15,60,0.03,60,105,7,False,-,False,-,0,-,CORE,46,50.0,2.7,2.7,75056.0,4.14,4,21.6,26.1
95,-0.09,0.1,10,25,7,15,60,0.03,60,105,7,False,-,False,-,0,-,CORE,46,54.3,2.27,2.7,67082.0,3.69,3,12.1,34.8
96,-0.15,0.25,18,25,5,15,60,0.03,60,105,7,False,-,False,-,0,-,CORE,46,54.3,2.26,2.7,83485.0,4.59,4,25.5,23.9
97,-0.12,0.12,10,25,5,15,60,0.03,60,105,7,False,-,False,-,0,-,CORE,46,54.3,2.26,2.69,68083.0,3.74,3,12.8,30.4
98,-0.12,0.12,10,25,5,15,60,0.03,60,105,7,False,-,False,-,0,-,FINE_SL,46,54.3,2.26,2.69,68083.0,3.74,3,12.8,30.4
